classifier,dataset,optimizer,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,spectf-heart,fa,0.076,0.204,0.13,0.8,24.4,0.555,1.405
svc,spectf-heart,fa,0.149,0.345,0.12,0.657,22.6,0.514,2.026
knn,spectf-heart,pso,0.004,0.315,0.171,0.686,16.2,0.368,5.383
svc,spectf-heart,pso,0.283,0.342,0.117,0.657,9.2,0.209,12.822
knn,spectf-heart,da,0.15,0.334,0.106,0.671,37.6,0.855,6.221
svc,spectf-heart,da,0.287,0.372,0.113,0.629,20.8,0.473,13.337
knn,spectf-heart,de,0.148,0.318,0.096,0.686,28.4,0.645,6.399
svc,spectf-heart,de,0.216,0.245,0.056,0.757,19.2,0.436,13.462
knn,spectf-heart,woa,0.147,0.302,0.114,0.7,24.0,0.545,7.503
svc,spectf-heart,woa,0.073,0.245,0.134,0.757,21.2,0.482,14.527
knn,spectf-heart,goa,0.215,0.316,0.096,0.686,19.8,0.45,7.893
svc,spectf-heart,goa,0.144,0.287,0.102,0.714,16.4,0.373,14.789
knn,spectf-heart,aco,0.283,0.354,0.063,0.643,2.0,0.045,8.244
svc,spectf-heart,aco,0.141,0.283,0.148,0.714,0.0,0.0,14.489
knn,spectf-heart,cs,0.005,0.232,0.151,0.771,25.6,0.582,7.294
svc,spectf-heart,cs,0.214,0.301,0.085,0.7,17.4,0.395,17.42
knn,spectf-heart,ga,0.146,0.287,0.089,0.714,20.4,0.464,9.451
svc,spectf-heart,ga,0.222,0.304,0.07,0.7,32.4,0.736,22.23
knn,spectf-heart,ba,0.147,0.261,0.072,0.743,27.2,0.618,10.209
svc,spectf-heart,ba,0.075,0.232,0.095,0.771,24.0,0.545,24.676
knn,spectf-heart,gwo,0.145,0.356,0.161,0.643,12.6,0.286,21.436
svc,spectf-heart,gwo,0.212,0.226,0.028,0.771,0.0,0.0,44.578
knn,spectf-heart,abco,0.145,0.259,0.096,0.743,18.6,0.423,33.672
svc,spectf-heart,abco,0.144,0.216,0.045,0.786,16.6,0.377,78.887
knn,sonar,fa,0.226,0.38,0.132,0.622,37.4,0.623,1.183
svc,sonar,fa,0.116,0.446,0.197,0.556,34.8,0.58,2.435
knn,sonar,pso,0.113,0.311,0.162,0.689,18.8,0.313,5.86
svc,sonar,pso,0.222,0.531,0.273,0.467,17.0,0.283,9.153
knn,sonar,da,0.116,0.359,0.146,0.644,43.2,0.72,6.821
svc,sonar,da,0.114,0.272,0.257,0.733,50.0,0.833,10.188
knn,sonar,goa,0.334,0.488,0.204,0.511,25.4,0.423,7.849
svc,sonar,goa,0.335,0.555,0.155,0.444,27.2,0.453,11.376
knn,sonar,de,0.115,0.468,0.213,0.533,35.6,0.593,6.621
svc,sonar,de,0.225,0.336,0.07,0.667,33.8,0.563,10.547
knn,sonar,woa,0.444,0.467,0.044,0.533,30.2,0.503,8.359
svc,sonar,woa,0.116,0.314,0.161,0.689,33.4,0.557,11.564
knn,sonar,cs,0.228,0.358,0.081,0.644,35.0,0.583,8.232
svc,sonar,cs,0.228,0.337,0.069,0.667,44.2,0.737,13.319
knn,sonar,ga,0.113,0.355,0.189,0.644,20.6,0.343,9.349
svc,sonar,ga,0.332,0.421,0.082,0.578,19.0,0.317,15.752
knn,sonar,aco,0.33,0.441,0.098,0.556,3.6,0.06,11.217
svc,sonar,aco,0.0,0.352,0.189,0.644,2.0,0.033,14.193
knn,sonar,ba,0.227,0.425,0.146,0.578,41.4,0.69,11.017
svc,sonar,ba,0.336,0.556,0.184,0.444,37.2,0.62,18.593
knn,sonar,gwo,0.221,0.397,0.112,0.6,6.6,0.11,21.738
svc,sonar,gwo,0.221,0.287,0.054,0.711,5.2,0.087,35.557
knn,sonar,abco,0.225,0.378,0.112,0.622,26.2,0.437,33.184
svc,sonar,abco,0.114,0.246,0.082,0.756,26.8,0.447,56.455
knn,ionosphere,fa,0.146,0.311,0.11,0.691,17.8,0.524,1.589
svc,ionosphere,fa,0.075,0.155,0.126,0.849,16.8,0.494,2.222
knn,ionosphere,pso,0.143,0.266,0.078,0.733,6.0,0.176,5.543
svc,ionosphere,pso,0.072,0.154,0.081,0.846,4.6,0.135,9.779
knn,ionosphere,da,0.01,0.145,0.092,0.861,25.4,0.747,6.21
svc,ionosphere,da,0.006,0.106,0.074,0.901,26.8,0.788,10.554
knn,ionosphere,goa,0.004,0.216,0.134,0.786,12.0,0.353,7.139
svc,ionosphere,goa,0.003,0.074,0.045,0.929,11.8,0.347,11.176
knn,ionosphere,de,0.077,0.239,0.134,0.764,17.8,0.524,6.452
svc,ionosphere,de,0.075,0.158,0.104,0.845,13.8,0.406,10.459
knn,ionosphere,woa,0.075,0.172,0.073,0.83,15.0,0.441,7.285
svc,ionosphere,woa,0.075,0.158,0.083,0.845,15.6,0.459,11.022
knn,ionosphere,cs,0.078,0.215,0.089,0.789,18.8,0.553,7.726
svc,ionosphere,cs,0.003,0.101,0.056,0.902,13.8,0.406,13.443
knn,ionosphere,aco,0.001,0.199,0.175,0.8,2.2,0.065,7.382
svc,ionosphere,aco,0.071,0.183,0.116,0.816,2.4,0.071,13.319
knn,ionosphere,ga,0.072,0.181,0.088,0.819,4.8,0.141,9.753
svc,ionosphere,ga,0.002,0.169,0.132,0.83,5.4,0.159,18.039
knn,ionosphere,ba,0.146,0.214,0.078,0.789,17.4,0.512,10.348
svc,ionosphere,ba,0.076,0.158,0.07,0.845,15.4,0.453,19.207
knn,ionosphere,gwo,0.072,0.183,0.097,0.816,4.0,0.118,21.466
svc,ionosphere,gwo,0.002,0.125,0.098,0.875,4.2,0.124,37.385
knn,ionosphere,abco,0.07,0.272,0.139,0.73,13.0,0.382,34.273
svc,ionosphere,abco,0.004,0.129,0.094,0.873,13.2,0.388,62.177
knn,dermatology,fa,0.005,0.071,0.059,0.933,18.6,0.547,1.101
svc,dermatology,fa,0.005,0.203,0.161,0.8,17.6,0.518,2.811
knn,dermatology,pso,0.068,0.121,0.05,0.88,8.8,0.259,5.212
svc,dermatology,pso,0.001,0.028,0.053,0.973,7.0,0.206,12.79
knn,dermatology,de,0.07,0.177,0.122,0.827,17.4,0.512,5.745
svc,dermatology,de,0.07,0.11,0.053,0.893,15.2,0.447,15.495
knn,dermatology,goa,0.003,0.11,0.089,0.893,14.8,0.435,6.493
svc,dermatology,goa,0.005,0.15,0.114,0.853,15.2,0.447,16.87
knn,dermatology,woa,0.004,0.163,0.099,0.84,15.4,0.453,6.317
svc,dermatology,woa,0.005,0.084,0.064,0.92,15.6,0.459,16.709
knn,dermatology,da,0.005,0.085,0.078,0.92,21.4,0.629,5.724
svc,dermatology,da,0.136,0.245,0.1,0.76,26.6,0.782,16.592
knn,dermatology,aco,0.067,0.226,0.079,0.773,4.4,0.129,6.754
svc,dermatology,aco,0.133,0.265,0.083,0.733,4.0,0.118,17.151
knn,dermatology,cs,0.07,0.124,0.05,0.88,18.4,0.541,7.619
svc,dermatology,cs,0.004,0.097,0.052,0.907,16.0,0.471,20.716
knn,dermatology,ga,0.003,0.109,0.067,0.893,10.0,0.294,9.916
svc,dermatology,ga,0.002,0.056,0.077,0.947,11.6,0.341,27.333
knn,dermatology,ba,0.005,0.111,0.079,0.893,19.0,0.559,10.123
svc,dermatology,ba,0.006,0.125,0.077,0.88,19.4,0.571,32.091
knn,dermatology,gwo,0.002,0.121,0.097,0.88,6.6,0.194,21.354
