classifier,dataset,optimizer,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,breast-cancer,cs,0.334,0.419,0.074,0.583,5.6,0.622,14.242
svc,breast-cancer,cs,0.167,0.318,0.12,0.683,3.6,0.4,10.309
knn,breast-cancer,ba,0.253,0.402,0.081,0.6,5.8,0.644,19.722
svc,breast-cancer,ba,0.167,0.286,0.125,0.717,4.6,0.511,14.99
knn,breast-cancer,gwo,0.007,0.402,0.217,0.6,5.2,0.578,43.785
svc,breast-cancer,gwo,0.086,0.201,0.084,0.8,3.0,0.333,30.595
knn,breast-cancer,abco,0.254,0.337,0.091,0.667,6.2,0.689,63.539
svc,breast-cancer,abco,0.171,0.253,0.103,0.75,5.0,0.556,49.622
knn,spectf-heart,fa,0.151,0.264,0.072,0.743,42.6,0.968,0.914
svc,spectf-heart,fa,0.221,0.32,0.085,0.686,40.2,0.914,1.15
knn,spectf-heart,pso,0.146,0.273,0.094,0.729,21.0,0.477,5.365
svc,spectf-heart,pso,0.221,0.264,0.035,0.743,41.6,0.945,12.668
knn,spectf-heart,woa,0.215,0.329,0.114,0.671,14.6,0.332,7.239
svc,spectf-heart,woa,0.141,0.216,0.068,0.786,17.6,0.4,12.257
knn,spectf-heart,de,0.216,0.246,0.035,0.757,22.8,0.518,5.7
svc,spectf-heart,de,0.214,0.284,0.077,0.714,7.2,0.164,12.815
knn,spectf-heart,da,0.08,0.222,0.078,0.786,41.6,0.945,6.4
svc,spectf-heart,da,0.22,0.277,0.069,0.729,35.0,0.795,13.395
knn,spectf-heart,goa,0.151,0.236,0.053,0.771,41.0,0.932,7.647
svc,spectf-heart,goa,0.221,0.32,0.056,0.686,40.0,0.909,14.16
knn,spectf-heart,cs,0.214,0.328,0.096,0.671,11.2,0.255,7.166
svc,spectf-heart,cs,0.08,0.236,0.113,0.771,42.8,0.973,16.269
knn,spectf-heart,ba,0.22,0.289,0.044,0.714,29.0,0.659,10.311
svc,spectf-heart,ba,0.287,0.302,0.03,0.7,23.8,0.541,24.5
knn,spectf-heart,gwo,0.073,0.342,0.163,0.657,11.6,0.264,21.628
svc,spectf-heart,gwo,0.141,0.325,0.106,0.671,0.0,0.0,41.597
knn,spectf-heart,abco,0.146,0.302,0.104,0.7,20.4,0.464,33.51
svc,spectf-heart,abco,0.214,0.214,0.0,0.786,10.2,0.232,77.65
knn,ecoli,fa,0.081,0.179,0.072,0.829,6.6,0.943,1.303
svc,ecoli,fa,0.151,0.292,0.099,0.714,6.6,0.943,0.924
knn,ecoli,goa,0.15,0.264,0.145,0.743,6.6,0.943,10.728
svc,ecoli,goa,0.009,0.222,0.149,0.786,6.8,0.971,9.113
knn,ecoli,woa,0.147,0.317,0.146,0.686,4.2,0.6,10.559
svc,ecoli,woa,0.079,0.191,0.084,0.814,5.2,0.743,9.004
knn,ecoli,pso,0.149,0.22,0.063,0.786,5.2,0.743,10.384
svc,ecoli,pso,0.15,0.262,0.114,0.743,5.4,0.771,8.724
knn,ecoli,de,0.15,0.304,0.104,0.7,5.2,0.743,10.51
svc,ecoli,de,0.221,0.291,0.076,0.714,5.6,0.8,8.851
knn,ecoli,da,0.219,0.264,0.035,0.743,6.4,0.914,11.316
svc,ecoli,da,0.081,0.25,0.131,0.757,6.4,0.914,9.65
knn,ecoli,cs,0.078,0.192,0.072,0.814,5.6,0.8,14.719
svc,ecoli,cs,0.151,0.334,0.123,0.671,6.0,0.857,12.857
knn,ecoli,ba,0.009,0.22,0.134,0.786,5.4,0.771,20.819
svc,ecoli,ba,0.147,0.234,0.083,0.771,5.2,0.743,17.643
knn,ecoli,gwo,0.076,0.176,0.096,0.829,4.6,0.657,36.768
svc,ecoli,gwo,0.078,0.233,0.12,0.771,4.4,0.629,30.406
knn,ecoli,abco,0.078,0.276,0.137,0.729,5.0,0.714,65.867
svc,ecoli,abco,0.218,0.276,0.053,0.729,4.8,0.686,61.979
knn,dermatology,fa,0.009,0.207,0.162,0.8,31.4,0.924,1.015
svc,dermatology,fa,0.075,0.22,0.134,0.787,31.4,0.924,1.569
knn,dermatology,pso,0.138,0.165,0.033,0.84,22.6,0.665,5.301
svc,dermatology,pso,0.072,0.164,0.067,0.84,18.4,0.541,12.139
knn,dermatology,de,0.002,0.135,0.094,0.867,9.6,0.282,5.542
svc,dermatology,de,0.069,0.149,0.077,0.853,12.0,0.353,12.823
knn,dermatology,woa,0.068,0.108,0.053,0.893,8.6,0.253,7.626
svc,dermatology,woa,0.068,0.253,0.128,0.747,8.6,0.253,13.841
knn,dermatology,goa,0.009,0.128,0.077,0.88,30.8,0.906,7.62
svc,dermatology,goa,0.075,0.247,0.175,0.76,31.6,0.929,15.667
knn,dermatology,da,0.007,0.14,0.173,0.867,28.0,0.824,5.785
svc,dermatology,da,0.008,0.192,0.112,0.813,25.0,0.735,16.855
knn,dermatology,cs,0.008,0.138,0.093,0.867,18.8,0.553,8.618
svc,dermatology,cs,0.004,0.216,0.114,0.787,15.6,0.459,18.926
knn,dermatology,ba,0.138,0.192,0.049,0.813,23.8,0.7,10.13
svc,dermatology,ba,0.07,0.203,0.094,0.8,18.6,0.547,32.561
knn,dermatology,gwo,0.068,0.121,0.106,0.88,7.8,0.229,21.77
svc,dermatology,gwo,0.134,0.24,0.067,0.76,6.8,0.2,47.638
knn,dermatology,abco,0.072,0.269,0.15,0.733,17.4,0.512,36.194
svc,dermatology,abco,0.004,0.123,0.088,0.88,14.8,0.435,94.655
knn,yeast,fa,0.389,0.518,0.078,0.487,7.6,0.95,5.449
